"","day","startName","endName","startX","startY","endX","endY","od"
"37095",5,"10号线交通大学","10号线航中路",121.4306649,31.2041254,121.349164,31.1671342,141
"37096",5,"10号线交通大学","10号线豫园",121.4306649,31.2041254,121.4830342,31.2297039,220
"37097",5,"10号线交通大学","10号线陕西南路",121.4306649,31.2041254,121.4552565,31.2189174,437
"37098",5,"10号线交通大学","10号线龙柏新村",121.4306649,31.2041254,121.3661584,31.1792881,255
"37099",5,"10号线交通大学","10号线龙溪路",121.4306649,31.2041254,121.3750205,31.1958824,154
"37100",5,"10号线交通大学","11号线三林",121.4306649,31.2041254,121.5066166,31.14499818,152
"37101",5,"10号线交通大学","11号线上海游泳馆",121.4306649,31.2041254,121.4370782,31.18094477,145
"37102",5,"10号线交通大学","11号线上海西站",121.4306649,31.2041254,121.3986908,31.26400279,156
"37103",5,"10号线交通大学","11号线南翔",121.4306649,31.2041254,121.3187634,31.29870644,208
"37104",5,"10号线交通大学","11号线嘉定北",121.4306649,31.2041254,121.2365451,31.3956097,105
"37105",5,"10号线交通大学","11号线曹杨路",121.4306649,31.2041254,121.4120945,31.24037552,142
"37106",5,"10号线交通大学","11号线李子园路",121.4306649,31.2041254,121.3860817,31.2705105,107
"37107",5,"10号线交通大学","11号线枫桥路",121.4306649,31.2041254,121.406399,31.24390852,139
"37108",5,"10号线交通大学","11号线桃浦新村",121.4306649,31.2041254,121.3459075,31.2833109,105
"37109",5,"10号线交通大学","11号线江苏路",121.4306649,31.2041254,121.4263265,31.22133048,110
"37110",5,"10号线交通大学","11号线龙华",121.4306649,31.2041254,121.4486885,31.1748452,161
"37111",5,"10号线交通大学","13号线金沙江路",121.4306649,31.2041254,121.4082553,31.23311646,133
"37112",5,"10号线交通大学","1号线徐家汇",121.4306649,31.2041254,121.4311714,31.19717957,144
"37113",5,"10号线交通大学","1号线莘庄",121.4306649,31.2041254,121.3806639,31.113152,133
"37114",5,"10号线交通大学","1号线莲花路",121.4306649,31.2041254,121.3982765,31.1328416,120
"37115",5,"10号线交通大学","2号线中山公园",121.4306649,31.2041254,121.4110376,31.21979337,137
"37116",5,"10号线交通大学","2号线南京西路",121.4306649,31.2041254,121.456491,31.2324438,118
"37117",5,"10号线交通大学","2号线徐泾东",121.4306649,31.2041254,121.2971092,31.1914812,164
"37118",5,"10号线交通大学","2号线虹桥火车站",121.4306649,31.2041254,121.3161005,31.1963569,479
"37119",5,"10号线交通大学","2号线陆家嘴",121.4306649,31.2041254,121.4979966,31.2403926,117
